from,to,weight,season
Mainz,1,50,2021
Nurnberg,33,3,2019
SII,42,,2021
Arsenal,5,,2020
Hannover,2,40,2020
Iwata,37,,2021
Dinamo,24,60,2018
Freiburg,15,13,2020
Hamburger,23,,2019
Truiden,3,17,2020
Holstein,16,8,2019
Juventus,32,15,2021
Chelsea,6,4,2020
Monaco,8,"17,5",2021
Sandhausen,28,,2021
Paris,14,80,2019
Bielefeld,30,,2019
Dusseldorf,11,,2020
Sandhausen,20,30,2019
Instituto,31,17,2019
SU,25,,2020
Fenerbahce,34,,2021
Wolfsburg,10,,2018
PSGU,7,,2019
Paderborn,22,25,2021
AW,9,"17,5",2019
Sporting,18,,2022
Wolfsburg,17,,2021
Vejle,19,45,2021
SU,50,,2022
SII,44,,2021
1,Deutschland,,
33,Deutschland,,
42,Deutschland,,
5,Griechenland,,
2,Deutschland,,
2,Usbekistan,,
37,Japan,,
24,Kroatien,,
24,Deutschland,,
15,Deutschland,,
23,Belgien,,
23,Kongo,,
3,Japan,,
16,Deutschland,,
32,Frankreich,,
32,Komoren,,
6,UK,,
6,Kongo,,
8,Frankreich,,
8,Martinique,,
28,Daenemark,,
28,Ghana,,
14,Kongo,,
30,Deutschland,,
30,Italien,,
11,Deutschland,,
20,Deutschland,,
31,Deutschland,,
31,Argentinien,,
25,Deutschland,,
34,Tuerkei,,
10,Deutschland,,
10,Benin,,
7,Frankreich,,
7,Elfenbeinkueste,,
22,Deutschland,,
9,Oesterreich,,
9,Serbien,,
18,Portugal,,
17,Aegypten,,
17,Kanada,,
19,Daenemark,,
19,Afghanistan,,
50,Frankreich,,
50,Kamerun,,
44,Niederlande,,
44,Sierra Leone,,
