id,name,country,type
1,Florian Mueller,Deutschland,1
Mainz,Mainz 05,Deutschland,2
33,Fabian Bredlow,Deutschland,1
Nurnberg,FC Nuernberg,Deutschland,2
42,Florian Schock,Deutschland,1
SII,Stuttgart II,Deutschland,2
5,Konstantinos Mavropanos,Griechenland,1
Arsenal,FC Arsenal,UK,2
2,Waldemar Anton,Deutschland,1
Hannover,Hannover 96,Deutschland,2
37,Hiroki Ito,Japan,1
Iwata,Jubilo Iwata,Japan,2
24,Borna Sosa,Kroatien,1
Dinamo,Dinamo Zagreb,Kroatien,2
15,Pascal Stenzel,Deutschland,1
Freiburg,SC Freiburg,Deutschland,2
23,Orel Mangala,Belgien,1
Hamburger,Hamburger SV,Deutschland,2
3,Wataru Endo,Japan,1
Trudien,VV St Trudien,Belgien,2
16,Atakan Karazor,Deutschland,1
Holstein,Holstein Kiel,Deutschland,2
32,Naouirou Ahamada,Frankreich,1
Juventus,Juventus U23,Italien,2
6,Clinton Mola,UK,1
Chelsea,Chelsea U23,UK,2
8,Enzo Millot,Frankreich,1
Monaco,AS Monaco,Monaco,2
28,Nikolas Nartey,Daenemark,1
Sandhausen,SV Sandhausen,Deutschland,2
14,Silas,Kongo,1
Paris,Paris FC,Frankreich,2
30,Roberto Massimo,Deutschland,1
Bielefeld,Arm Bielefeld,Deutschland,2
11,Erik Thommy,Deutschland,1
Dusseldorf,Duesseldorf,Deutschland,2
20,Philipp Foerster,Deutschland,1
31,Mateo Klimowicz,Deutschland,1
Instituto,Instituto AC,Argentinien,2
25,Lilian Egloff,Deutschland,1
SU,Stuttgart U19,Deutschland,2
34,Oemer Beyaz,Tuerkei,1
Fenerbahce,Fenerbahce,Deutschland,2
10,Daniel Didavi,Deutschland,1
Wolfsburg,VfL Wolfsburg,Deutschland,2
7,Tanguy Coulibaly,Frankreich,1
PSGU,Paris SG U19,Frankreich,2
,Chris Fuehrich,Deutschland,1
Paderborn,SC Paderborn,Deutschland,2
,Sasa Kalajdzic,Oesterreich,1
AW,Admira Wacker,Oesterreich,2
18,Tiago Tomas,Portugal,1
Sporting,Sporting,Portugal,2
19,Wahid Faghir,Daenemark,1
Vejle,Vejle BK,Daenemark,2
50,Alexis Tibidi,Frankreich,1
44,Mohamed Sankoh,Niederlande,2
Deutschland,,,
Griechenland,,,
Usbekistan,,,
Japan,,,
Kroatien,,,
Belgien,,,
Kongo,,,
Japan,,,
Frankreich,,,
Komoren,,,
UK,,,
Martinique,,,
Daenemark,,,
Ghana,,,
Italien,,,
Argentinien,,,
Tuerkei,,,
Benin,,,
Elfenbeinkueste,,,
Oesterreich,,,
Serbien,,,
Portugal,,,
Aegypten,,,
Kanada,,,
Afghanistan,,,
Kamerun,,,
Niederlande,,,
Sierra Leone,,,
